|dakkon blackblade|legendary|creature||human warrior|*/*|{^^WWUUUUBB}|@'s power and toughness are each equal to the number of lands you control.|
|diviner's wand||tribal artifact||wizard equipment||{^^^}|equip {^^^}\equipped creature has "whenever you draw a card, this creature gets +&^/+&^ and gains flying until end of turn" and "{^^^^}: draw a card."\whenever a wizard creature enters the battlefield, you may attach @ to it.|

|daily regimen||enchantment||aura||{WW}|enchant creature\{^WW}: put a +&^/+&^ counter on enchanted creature.|

|centaur garden||land|||||T: add {GG} to your mana pool. @ deals &^ damage to you.\threshold ~ {GG}, T, sacrifice @: target creature gets +&^^^/+&^^^ until end of turn. activate this ability only if seven or more cards are in your graveyard.|

|flash of defiance||sorcery||||{^RR}|flashback~{^RR}, pay &^^^ life.\green creatures and white creatures can't block this turn.|

|jalira, master polymorphist|legendary|creature||human wizard|&^^/&^^|{^^^UU}|{^^UU}, T, sacrifice another creature: reveal cards from the top of your library until you reveal a nonlegendary creature card. put that card onto the battlefield and the rest on the bottom of your library in a random order.|

|kokusho, the evening star|legendary|creature||dragon spirit|&^^^^^/&^^^^^|{^^^^BBBB}|flying\when @ dies, each opponent loses &^^^^^ life. you gain life equal to the life lost this way.|

|ghitu encampment||land|||||@ enters the battlefield tapped.\T: add {RR} to your mana pool.\{^RR}: @ becomes a &^^/&^ red warrior creature with first strike until end of turn. it's still a land.|

|zanikev locust||creature||insect|&^^^/&^^^|{^^^^^BB}|flying\scavenge {^^BBBB}|

|acidic sliver||creature||sliver|&^^/&^^|{BBRR}|all slivers have "{^^}, sacrifice this permanent: this permanent deals &^^ damage to target creature or player."|

|selesnya sanctuary||land|||||@ enters the battlefield tapped.\when @ enters the battlefield, return a land you control to its owner's hand.\T: add {GGWW} to your mana pool.|

|midnight ritual||sorcery||||{XX^^BB}|exile X target creature cards from your graveyard. for each creature card exiled this way, put a &^^/&^^ black zombie creature token onto the battlefield.|

|kjeldoran javelineer||creature||human soldier|&^/&^^|{WW}|cumulative upkeep {^}\T: @ deals damage equal to the number of % counters on it to target attacking or blocking creature.\countertype % age|

|jovial evil||sorcery||||{^^BB}|@ deals X damage to target opponent, where X is twice the number of white creatures that player controls.|

|liege of the pit||creature||demon|&^^^^^^^/&^^^^^^^|{^^^^^BBBBBB}|flying\trample\morph {BBBBBBBB}\at the beginning of your upkeep, sacrifice a creature other than @. if you can't, @ deals &^^^^^^^ damage to you.|

|harpoon sniper||creature||merfolk archer|&^^/&^^|{^^WW}|{WW}, T: @ deals X damage to target attacking or blocking creature, where X is the number of merfolk you control.|

|faithful squire||creature||human soldier|&^^/&^^|{^WWWW}|whenever you cast a spirit or arcane spell, you may put a % counter on @.\at the beginning of the end step, if there are two or more % counters on @, you may flip it.\countertype % ki|
|kaiso, memory of loyalty|legendary|creature||spirit|&^^^/&^^^^|{^WWWW}|flying\remove a % counter from @: prevent all damage that would be dealt to target creature this turn.\countertype % ki|

|wormfang behemoth||creature||nightmare fish beast|&^^^^^/&^^^^^|{^^^UUUU}|when @ enters the battlefield, exile all cards from your hand.\when @ leaves the battlefield, return the exiled cards to their owner's hand.|

|femeref enchantress||creature||human druid|&^/&^^|{GGWW}|whenever an enchantment is put into a graveyard from the battlefield, draw a card.|

|ruby leech||creature||leech|&^^/&^^|{^RR}|first strike\red spells you cast cost {RR} more to cast.|

|consuming bonfire||tribal sorcery||elemental||{^^^RRRR}|[&^ = @ deals &^^^^ damage to target non~elemental creature. = @ deals &^^^^^^^ damage to target treefolk creature.]|

|warden of evos isle||creature||bird wizard|&^^/&^^|{^^UU}|flying\creature spells with flying you cast cost {^} less to cast.|

|hellkite igniter||creature||dragon|&^^^^^/&^^^^^|{^^^^^RRRR}|flying\haste\{^RR}: @ gets +X/+& until end of turn, where X is the number of artifacts you control.|

|mind shatter||sorcery||||{XXBBBB}|target player discards X cards at random.|

|tranquil cove||land|||||@ enters the battlefield tapped.\when @ enters the battlefield, you gain &^ life.\T: add {WW} or {UU} to your mana pool.|

|adarkar windform|snow|creature||illusion|&^^^/&^^^|{^^^^UU}|flying\{^SS}: target creature loses flying until end of turn.|

|demonic taskmaster||creature||demon|&^^^^/&^^^|{^^BB}|flying\at the beginning of your upkeep, sacrifice a creature other than @.|

|soultether golem||artifact creature||golem|&^^^/&^^^|{^^}|vanishing &^\whenever another creature enters the battlefield under your control, put a % counter on @.\countertype % time|

|trolls of tel~jilad||creature||troll shaman|&^^^^^/&^^^^^^|{^^^^^GGGG}|{^GG}: regenerate target green creature.|

|whipflare||sorcery||||{^RR}|@ deals &^^ damage to each nonartifact creature.|

|aurelia's fury||instant||||{XXRRWW}|@ deals X damage divided as you choose among any number of target creatures and/or players. tap each creature dealt damage this way. players dealt damage this way can't cast noncreature spells this turn.|

|dack's duplicate||creature||shapeshifter|&/&|{^^UURR}|you may have @ enter the battlefield as a copy of any creature on the battlefield except it gains haste and dethrone.|

|skyclaw thrash||artifact creature||viashino warrior|&^^^^/&^^^^|{^^^UURR}|whenever @ attacks, flip a coin. if you win the flip, @ gets +&^/+&^ and gains flying until end of turn.|

|split decision||instant||||{^UU}|will of the council ~ choose target instant or sorcery spell. starting with you, each player votes for denial or duplication. if denial gets more votes, uncast the spell. if duplication gets more votes or the vote is tied, copy the spell. you may choose new targets for the copy.|

|oxidda scrapmelter||creature||beast|&^^^/&^^^|{^^^RR}|when @ enters the battlefield, destroy target artifact.|

|overburden||enchantment||||{^UU}|whenever a player puts a nontoken creature onto the battlefield, that player returns a land he or she controls to its owner's hand.|

|psionic entity||creature||illusion|&^^/&^^|{^^^^UU}|T: @ deals &^^ damage to target creature or player and &^^^ damage to itself.|

|reaper of sheoldred||creature||horror|&^^/&^^^^^|{^^^^BB}|infect\whenever a source deals damage to @, that source's controller gets a % counter.\countertype % poison|

|shatterskull recruit||creature||giant warrior ally|&^^^^/&^^^^|{^^^RRRR}|menace|

|truefire paladin||creature||human knight|&^^/&^^|{RRWW}|vigilance\{RRWW}: @ gets +&^^/+& until end of turn.\{RRWW}: @ gains first strike until end of turn.|

|hellrider||creature||devil|&^^^/&^^^|{^^RRRR}|haste\whenever a creature you control attacks, @ deals &^ damage to defending player.|

|shambling attendants||creature||zombie|&^^^/&^^^^^|{^^^^^^^BB}|delve\deathtouch|

|ambush party||creature||human rogue|&^^^/&^|{^^^^RR}|first strike\haste|

|reflex sliver||creature||sliver|&^^/&^^|{^^^GG}|all sliver creatures have haste.|

|breath of darigaaz||sorcery||||{^RR}|@ deals &^ damage to each creature without flying and each player. if @ was kicked, it deals &^^^^ damage to each creature without flying and each player instead.\kicker {^^}|

|artillerize||instant||||{^^^RR}|as an additional cost to cast @, sacrifice an artifact or creature.\@ deals &^^^^^ damage to target creature or player.|

|glyph of life||instant||||{WW}|choose target wall creature. whenever that creature is dealt damage by an attacking creature this turn, you gain that much life.|

|immortal servitude||sorcery||||{XXWBWBWB}|return each creature card with converted mana cost X from your graveyard to the battlefield.|

|noble elephant||creature||elephant|&^^/&^^|{^^^WW}|trample\banding|

|frozen solid||enchantment||aura||{^UUUU}|enchant creature\enchanted creature doesn't untap during its controller's untap step.\when enchanted creature is dealt damage, destroy it.|

|devoted retainer||creature||human samurai|&^/&^|{WW}|bushido &^|

|sylvan advocate||creature||elf druid ally|&^^/&^^^|{^GG}|vigilance\as long as you control six or more lands, @ and land creatures you control get +&^^/+&^^.|

|enraging licid||creature||licid|&^/&^|{^RR}|{RR}, T: @ loses this ability and becomes an aura enchantment with enchant creature. attach it to target creature. you may pay {RR} to end this effect.\enchanted creature has haste.|

|regress||instant||||{^^UU}|return target permanent to its owner's hand.|

|rising miasma||sorcery||||{^^^BB}|awaken &^^^~{^^^^^BBBB}\all creatures get -&^^/-&^^ until end of turn.|

|sadistic sacrament||sorcery||||{BBBBBB}|search target player's library for up to three cards, exile them, then that player shuffles his or her library. if @ was kicked, instead search that player's library for up to fifteen cards, exile them, then that player shuffles his or her library.\kicker {^^^^^^^}|

|grixis charm||instant||||{UUBBRR}|[&^ = return target permanent to its owner's hand. = target creature gets -&^^^^/-&^^^^ until end of turn. = creatures you control get +&^^/+& until end of turn.]|

|glintwing invoker||creature||human wizard mutant|&^^^/&^^^|{^^^^UU}|{^^^^^^^UU}: @ gets +&^^^/+&^^^ and gains flying until end of turn.|

|three dreams||sorcery||||{^^^^WW}|search your library for up to three aura cards with different names, reveal them, and put them into your hand. then shuffle your library.|

|ondu cleric||creature||kor cleric ally|&^/&^|{^WW}|whenever @ or another ally enters the battlefield under your control, you may gain life equal to the number of allies you control.|

|ravaging horde||creature||human soldier|&^^^/&^^^|{^^^RRRR}|when @ enters the battlefield, destroy target land.|

|touch of the eternal||enchantment||||{^^^^^WWWW}|at the beginning of your upkeep, count the number of permanents you control. your life total becomes that number.|

|dodecapod||artifact creature||golem|&^^^/&^^^|{^^^^}|if a spell or ability an opponent controls causes you to discard @, put it onto the battlefield with two +&^/+&^ counters on it instead of putting it into your graveyard.|

|kira, great glass~spinner|legendary|creature||spirit|&^^/&^^|{^UUUU}|flying\creatures you control have "whenever this creature becomes the target of a spell or ability for the first time in a turn, uncast that spell or ability."|

|angelic voices||enchantment||||{^^WWWW}|creatures you control get +&^/+&^ as long as you control no nonartifact, nonwhite creatures.|

|rekindled flame||sorcery||||{^^RRRR}|@ deals &^^^^ damage to target creature or player.\at the beginning of your upkeep, if an opponent has no cards in hand, you may return @ from your graveyard to your hand.|

|collateral damage||instant||||{RR}|as an additional cost to cast @, sacrifice a creature.\@ deals &^^^ damage to target creature or player.|

|wand of ith||artifact||||{^^^^}|{^^^}, T: target player reveals a card at random from his or her hand. if it's a land card, that player discards it unless he or she pays &^ life. if it isn't a land card, the player discards it unless he or she pays life equal to its converted mana cost. activate this ability only during your turn.|

|jedit ojanen|legendary|creature||cat warrior|&^^^^^/&^^^^^|{^^^^WWWWUU}||

|guile||creature||elemental incarnation|&^^^^^^/&^^^^^^|{^^^UUUUUU}|@ can't be blocked except by three or more creatures.\if a spell or ability you control would uncast a spell, instead exile that spell and you may play that card without paying its mana cost.\when @ is put into a graveyard from anywhere, shuffle it into its owner's library.|

|aethertow||instant||||{^^^WU}|conspire\put target attacking or blocking creature on top of its owner's library.|

|vampire bats||creature||bat|&/&^|{BB}|flying\{BB}: @ gets +&^/+& until end of turn. activate this ability no more than twice each turn.|

|urza's filter||artifact||||{^^^^}|multicolored spells cost up to {^^} less to cast.|

|gods willing||instant||||{WW}|target creature you control gains protection from the color of your choice until end of turn. scry &^.|

|helm of obedience||artifact||||{^^^^}|{XX}, T: target opponent puts cards from the top of his or her library into his or her graveyard until a creature card or X cards are put into that graveyard this way, whichever comes first. if a creature card is put into that graveyard this way, sacrifice @ and put that card onto the battlefield under your control. X can't be &.|

|guttural response||instant||||{RG}|uncast target blue instant spell.|

|soltari crusader||creature||soltari knight|&^^/&^|{^^WW}|shadow\{^WW}: @ gets +&^/+& until end of turn.|

|shrine of loyal legions||artifact||||{^^}|at the beginning of your upkeep or whenever you cast a white spell, put a % counter on @.\{^^^}, T, sacrifice @: put a &^/&^ colorless myr artifact creature token onto the battlefield for each % counter on @.\countertype % charge|

|moonhold||instant||||{^^RW}|target player can't play land cards this turn if {RR} was spent to cast @ and can't play creature cards this turn if {WW} was spent to cast it.|

|shadowborn apostle||creature||human cleric|&^/&^|{BB}|a deck can have any number of cards named @.\{BB}, sacrifice six creatures named @: search your library for a demon creature card and put it onto the battlefield. then shuffle your library.|

|spiked baloth||creature||beast|&^^^^/&^^|{^^^GG}|trample|

|phantom tiger||creature||cat spirit|&^/&|{^^GG}|@ enters the battlefield with two +&^/+&^ counters on it.\if damage would be dealt to @, prevent that damage. remove a +&^/+&^ counter from @.|

|torpor orb||artifact||||{^^}|creatures entering the battlefield don't cause abilities to trigger.|

|daring thief||creature||human rogue|&^^/&^^^|{^^UU}|inspired ~ whenever @ becomes untapped, you may exchange control of target nonland permanent you control and target permanent an opponent controls that shares a card type with it.|
